AÃ±o,Identificador de la Orden,Rama de la Entidad,Sector de la Entidad,Entidad,Solicitante,Fecha,Proveedor,Estado,Solicitud,Items,Total,Agregacion,Ciudad,Entidad Obigada,EsPostconflicto,NIT Proveedor,Actividad Economica Proveedor,ID Entidad
2017,22524,Ejecutiva,Justicia y del Derecho,ANDJE,Elena Villalba Villalobos,11/24/2017 12:00:00 AM,CONALCREDITOS  CONALCENTER BPO,Emitida,39473,Ver Conjunto detalle,42840000.00,Centro de contacto,BogotÃ¡ D.C.,Obligada,No Definido,800219668,8220,340
2017,22525,Ejecutiva,Minas y EnergÃ­a,SERVICIO GEOLOGICO COLOMBIANO,Monica Ponguta Achury,11/24/2017 12:00:00 AM,Subatours SAS,Emitida,39510,Ver Conjunto detalle,960496947.00,Tiquetes AÃ©reos,BogotÃ¡ D.C.,Obligada,No Definido,8000750036,7911,65
2017,22526,Organismos autÃ³nomo o independientes,Justicia y del Derecho,DEFENSORIA DEL PUEBLO,Gigliola Gravinni Marin,11/24/2017 12:00:00 AM,Oracle Colombia Ltda,Emitida,39474,Ver Conjunto detalle,23461856.00,Servicios Oracle,BOGOTA,No obligada,No Definido,800103052,6202,35
2017,22527,Ejecutiva,PlaneaciÃ³n,SUPERINTENDENCIA DE SERVICIOS PUBLICOS DOMICILIARIOS,illiam Elias Sanabria Romero,11/24/2017 12:00:00 AM,BPM Consulting,Emitida,39501,Ver Conjunto detalle,782159181.00,Centro de contacto,BogotÃ¡ D.C.,Obligada,No Definido,900011395,8220,67
2017,22528,Ejecutiva,EducaciÃ³n Nacional,INSTITUTO NACIONAL PARA SORDOS INSOR,Andres Santiago Florez Ortegon,11/24/2017 12:00:00 AM,COLOMBIANA DE COMERCIO SA YO ALKOSTO SA,Cancelada,39427,Ver Conjunto detalle,621600.00,Grandes Superficies,BOGOTA,Obligada,No Definido,890900943,COMERCIO AL POR MAYO,104
2017,22529,Ejecutiva,EducaciÃ³n Nacional,INSTITUTO NACIONAL PARA SORDOS INSOR,Andres Santiago Florez Ortegon,11/24/2017 12:00:00 AM,PANAMERICANA LIBRERÃA Y PAPELERÃA SA,Cerrada,39427,Ver Conjunto detalle,9800602.00,Grandes Superficies,BOGOTA,Obligada,No Definido,830037946,4761,104
2015,2253,Ejecutiva,Comercio Industria y Turismo,MINISTERIO DE COMERCIO INDUSTRIA Y TURISMO,Claudia Liliana Martinez Melo,04/20/2015 12:00:00 AM,UNE,Emitida,5992,Ver Conjunto detalle,44041543.00,Conectividad,BogotÃ¡,Obligada,No Definido,900092385,6110,171
2017,22530,Ejecutiva,EducaciÃ³n Nacional,INSTITUTO NACIONAL PARA SORDOS INSOR,Andres Santiago Florez Ortegon,11/24/2017 12:00:00 AM,Falabella de Colombia SA,Cerrada,39512,Ver Conjunto detalle,1499990.00,Grandes Superficies,BOGOTA,Obligada,No Definido,900017447,4719,104
2017,22531,Ejecutiva,Minas y EnergÃ­a,MINISTERIO DE MINAS Y ENERGIA  GESTION GENERAL,Lady Angelica Mora Alvarado,11/24/2017 12:00:00 AM,Servi limpieza SA,Emitida,39462,Ver Conjunto detalle,204613546.00,Aseo y CafeterÃ­a II,BOGOTA,Obligada,No Definido,800148041,8121,246
2017,22532,Organismos autÃ³nomo o independientes,FunciÃ³n PÃºblica,CORPORACION AUTONOMA REGIONAL DEL ALTO MAGDALENA,iller Hernandez Caliman,11/24/2017 12:00:00 AM,SumimasSAS,Emitida,38521,Ver Conjunto detalle,6069669.00,AdquisiciÃ³n de Computadores y PerifÃ©ricos,Neiva,No obligada,No Definido,,,249
