Date;Region;Class;Commodity;Variety;Organic;Environment;Unit;Number of Stores;Weighted Avg Price;Low Price;High Price;% Marked Local
12/04/2020;NATIONAL;FRUITS;CHERRIES;RED VARIETIES;;;per pound;414;5.45;;;
12/04/2020;NORTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;293;5.33;4.99;7.99;
12/04/2020;SOUTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;78;4.99;4.99;4.99;
12/04/2020;MIDWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;18;5.98;5.98;5.99;
12/04/2020;SOUTH CENTRAL U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;25;7.99;7.99;7.99;
12/11/2020;NATIONAL;FRUITS;CHERRIES;RED VARIETIES;;;per pound;2,268;5.54;;;
12/11/2020;NORTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;523;5.98;4.99;6.99;
12/11/2020;SOUTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;1,219;4.93;3.99;5.99;
12/11/2020;MIDWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;13;7.99;7.99;7.99;
12/11/2020;SOUTH CENTRAL U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;249;7.03;5.99;7.99;
12/11/2020;SOUTHWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;264;5.99;5.99;5.99;
12/18/2020;NATIONAL;FRUITS;CHERRIES;RED VARIETIES;;;per pound;4,457;5.48;;;
12/18/2020;NORTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;1,061;5.64;4.99;6.99;
12/18/2020;SOUTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;2,709;5.39;4.99;7.99;
12/18/2020;MIDWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;186;4.99;4.99;4.99;
12/18/2020;SOUTH CENTRAL U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;238;6.64;5.99;7.99;
12/18/2020;SOUTHWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;263;4.96;3.99;4.99;
1/01/2021;NATIONAL;FRUITS;CHERRIES;RED VARIETIES;;;per pound;3,323;5.21;;;
1/01/2021;NORTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;440;5.10;4.99;5.99;
1/01/2021;SOUTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;1,272;5.05;4.99;6.99;
1/01/2021;MIDWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;387;4.90;3.99;5.99;
1/01/2021;SOUTH CENTRAL U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;103;6.38;4.99;6.99;
1/01/2021;SOUTHWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;1,036;5.45;4.99;9.99;
1/01/2021;NORTHWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;64;4.99;4.99;4.99;
1/01/2021;HAWAII;FRUITS;CHERRIES;RED VARIETIES;;;per pound;21;6.99;6.99;6.99;
1/08/2021;NATIONAL;FRUITS;CHERRIES;RED VARIETIES;;;per pound;3,863;4.75;;;
1/08/2021;NORTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;1,104;4.98;1.99;7.99;
1/08/2021;SOUTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;1,564;3.87;1.99;6.99;
1/08/2021;MIDWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;409;6.51;4.99;7.99;
1/08/2021;SOUTH CENTRAL U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;99;6.38;4.98;7.99;
1/08/2021;SOUTHWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;687;5.12;3.99;5.99;
01/15/2021;NATIONAL;FRUITS;CHERRIES;RED VARIETIES;;;per pound;4,655;4.44;;;
01/15/2021;NORTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;423;4.56;3.99;6.99;
01/15/2021;SOUTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;2,738;4.02;2.99;6.99;
01/15/2021;MIDWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;230;5.00;3.88;5.99;
01/15/2021;SOUTH CENTRAL U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;208;5.46;3.99;5.97;
01/15/2021;SOUTHWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;1,056;5.14;3.99;5.99;
01/22/2021;NATIONAL;FRUITS;CHERRIES;RED VARIETIES;;;per pound;3,938;4.71;;;
01/22/2021;NORTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;1,009;4.48;3.99;5.99;
01/22/2021;SOUTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;1,334;5.00;3.99;5.99;
01/22/2021;MIDWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;909;4.32;3.99;6.99;
01/22/2021;SOUTH CENTRAL U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;37;6.00;4.99;6.49;
01/22/2021;SOUTHWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;649;4.93;3.99;4.99;
01/29/2021;NATIONAL;FRUITS;CHERRIES;RED VARIETIES;;;per pound;2,297;4.24;;;
01/29/2021;NORTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;85;5.25;4.99;5.99;
01/29/2021;SOUTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;1,386;3.35;2.99;5.00;
01/29/2021;MIDWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;218;5.10;4.98;5.99;
01/29/2021;SOUTH CENTRAL U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;158;5.37;3.99;5.49;
01/29/2021;SOUTHWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;450;5.99;5.99;5.99;
2/05/2021;NATIONAL;FRUITS;CHERRIES;RED VARIETIES;;;per pound;1,861;5.00;;;
2/05/2021;NORTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;25;4.99;4.99;4.99;
2/05/2021;SOUTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;1,135;4.99;4.99;4.99;
2/05/2021;MIDWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;8;5.99;5.99;5.99;
2/05/2021;SOUTH CENTRAL U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;81;5.13;4.99;5.99;
2/05/2021;SOUTHWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;612;4.99;4.99;4.99;
2/12/2021;NATIONAL;FRUITS;CHERRIES;RED VARIETIES;;;per pound;407;6.56;;;
2/12/2021;NATIONAL;FRUITS;CHERRIES;RED VARIETIES;Y;;per pound;53;7.99;;;
2/12/2021;NORTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;175;5.99;5.99;5.99;
2/12/2021;MIDWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;192;6.99;6.99;6.99;
2/12/2021;SOUTH CENTRAL U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;40;6.99;6.99;6.99;
2/12/2021;SOUTHWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;Y;;per pound;53;7.99;7.99;7.99;
02/19/2021;NATIONAL;FRUITS;CHERRIES;RED VARIETIES;;;per pound;40;3.24;;;
02/19/2021;SOUTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;35;2.99;2.99;2.99;
02/19/2021;SOUTHWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;5;4.99;4.99;4.99;
02/26/2021;NATIONAL;FRUITS;CHERRIES;RED VARIETIES;;;per pound;178;5.70;;;
02/26/2021;NORTHEAST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;88;5.04;4.99;5.49;
02/26/2021;SOUTHWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;90;6.35;3.99;7.99;
04/30/2021;NATIONAL;FRUITS;CHERRIES;RED VARIETIES;;;per pound;6;3.99;;;
04/30/2021;SOUTHWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;6;3.99;3.99;3.99;
5/07/2021;NATIONAL;FRUITS;CHERRIES;RED VARIETIES;;;per pound;1,728;5.28;;;
5/07/2021;MIDWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;22;6.49;5.99;6.99;
5/07/2021;SOUTH CENTRAL U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;470;5.70;4.99;5.99;
5/07/2021;SOUTHWEST U.S.;FRUITS;CHERRIES;RED VARIETIES;;;per pound;1,123;5.04;1.99;5.99;50
